skills,career
python sql excel statistics data analysis,Data Analyst
python pandas numpy machine learning statistics,Data Scientist
python machine learning deep learning,ML Engineer
html css javascript react,Web Developer
html css javascript react node,Full Stack Developer
python flask django sql,Backend Developer
java spring sql,Software Engineer
linux docker kubernetes ci cd,DevOps Engineer
aws azure cloud terraform,Cloud Engineer
python selenium automation testing,Automation Tester
manual testing test cases qa,QA Engineer
power bi tableau sql,BI Analyst
python cybersecurity network security,Cyber Security Analyst
kotlin android xml,Android Developer
